Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"Fiscal Year 2023 Budget Request for the National Science Foundation",https://www.congress.gov/event/117th-congress/house-event/114714,117th,"House of Representatives",2022-05-11T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the U.S. Customs and Border Protection",https://www.congress.gov/event/117th-congress/house-event/114713,117th,"House of Representatives",2022-05-11T18:00:00Z,"House Appropriations"
"Impacts of VA's Research Efforts on Veterans",https://www.congress.gov/event/117th-congress/house-event/114716,117th,"House of Representatives",2022-05-11T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Department of Defense",https://www.congress.gov/event/117th-congress/house-event/114701,117th,"House of Representatives",2022-05-11T14:30:00Z,"House Appropriations"
"FY 2023 Budget Request for the Department of Housing and Urban Development",https://www.congress.gov/event/117th-congress/house-event/114720,117th,"House of Representatives",2022-05-11T14:00:00Z,"House Appropriations"
"FY 2023 Budget Request for the National Institutes of Health",https://www.congress.gov/event/117th-congress/house-event/114712,117th,"House of Representatives",2022-05-11T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the United States Agency for International Development",https://www.congress.gov/event/117th-congress/house-event/114711,117th,"House of Representatives",2022-05-11T14:00:00Z,"House Appropriations"
"FY 2023 Budget Request for the Department of Transportation",https://www.congress.gov/event/117th-congress/house-event/114719,117th,"House of Representatives",2022-05-10T17:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Environmental Protection Agency",https://www.congress.gov/event/117th-congress/house-event/114666,117th,"House of Representatives",2022-04-29T13:00:00Z,"House Appropriations"
"FY 2023 Budget Request for the Department of Energy",https://www.congress.gov/event/117th-congress/house-event/114639,117th,"House of Representatives",2022-04-28T18:30:00Z,"House Appropriations"
"Air Force Installations and Quality of Life Update",https://www.congress.gov/event/117th-congress/house-event/114657,117th,"House of Representatives",2022-04-28T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Department of Justice",https://www.congress.gov/event/117th-congress/house-event/114653,117th,"House of Representatives",2022-04-28T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Cybersecurity and Infrastructure Security Agency",https://www.congress.gov/event/117th-congress/house-event/114675,117th,"House of Representatives",2022-04-28T17:30:00Z,"House Appropriations"
"FY 2023 Budget Request for the Department of Education",https://www.congress.gov/event/117th-congress/house-event/114648,117th,"House of Representatives",2022-04-28T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Department of Agriculture",https://www.congress.gov/event/117th-congress/house-event/114644,117th,"House of Representatives",2022-04-28T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Department of State",https://www.congress.gov/event/117th-congress/house-event/114655,117th,"House of Representatives",2022-04-28T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the United States Department of the Interior",https://www.congress.gov/event/117th-congress/house-event/114663,117th,"House of Representatives",2022-04-28T13:00:00Z,"House Appropriations"
"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR 2023",https://www.congress.gov/event/117th-congress/house-event/LC69475/text,117th,"House of Representatives",2022-04-28T04:00:00Z,"House Appropriations"
"FY 2023 Budget Request for the U.S. Army Corps of Engineers and Bureau of Reclamation",https://www.congress.gov/event/117th-congress/house-event/114638,117th,"House of Representatives",2022-04-27T18:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Architect of the Capitol",https://www.congress.gov/event/117th-congress/house-event/114679,117th,"House of Representatives",2022-04-27T18:00:00Z,"House Appropriations"
