chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,117,1,161,161,2021-04-21,Motion to Discharge Colin Hackett Kahl to be Under Secretary of Defense for Policy from the Committee on Armed Services,On the Motion to Discharge PN79-6,Motion to Discharge Agreed to,50,50,0,0
Senate,117,1,162,162,2021-04-22,Cruz Amdt. No. 1456,On the Amendment S.Amdt. 1456 to S.Amdt. 1445 to S. 937 (COVID-19 Hate Crimes Act),Amendment Rejected,49,48,0,3
Senate,117,1,163,163,2021-04-22,Lee Amdt. No. 1425,On the Amendment S.Amdt. 1425 to S.Amdt. 1445 to S. 937 (COVID-19 Hate Crimes Act),Amendment Rejected,49,48,0,3
Senate,117,1,164,164,2021-04-22,Blackburn Amdt. No. 1458,On the Amendment S.Amdt. 1458 to S.Amdt. 1445 to S. 937 (COVID-19 Hate Crimes Act),Amendment Rejected,46,51,0,3
Senate,117,1,165,165,2021-04-22,"S. 937, As Amended",On Passage of the Bill S. 937,Bill Passed,94,1,0,5
Senate,117,1,166,166,2021-04-26,"Motion to Invoke Cloture: Jason Scott Miller to be Deputy Director for Management, Office of Management and Budget",On the Cloture Motion PN79-9,Cloture Motion Agreed to,82,13,0,5
Senate,117,1,167,167,2021-04-27,"Confirmation: Jason Scott Miller, of Maryland, to be Deputy Director for Management, Office of Management and Budget",On the Nomination PN79-9,Nomination Confirmed,81,13,0,6
Senate,117,1,168,168,2021-04-27,Motion to Invoke Cloture: Janet Garvin McCabe to be Deputy Administrator of the Environmental Protection Agency,On the Cloture Motion PN79-8,Cloture Motion Agreed to,52,42,0,6
Senate,117,1,169,169,2021-04-27,"Confirmation: Janet Garvin McCabe, of Indiana, to be Deputy Administrator of the Environmental Protection Agency",On the Nomination PN79-8,Nomination Confirmed,52,42,0,6
Senate,117,1,170,170,2021-04-27,Motion to Invoke Cloture: Colin Hackett Kahl to be Under Secretary of Defense for Policy,On the Cloture Motion PN79-6,Cloture Motion Agreed to,49,44,0,7
Senate,117,1,171,171,2021-04-27,"Confirmation: Colin Hackett Kahl, of California, to be Under Secretary of Defense for Policy",On the Nomination PN79-6,Nomination Confirmed,49,45,0,6
Senate,117,1,172,172,2021-04-27,Motion to Invoke Cloture: Motion to Proceed to S. 914,On Cloture on the Motion to Proceed S. 914,Cloture on the Motion to Proceed Agreed to,92,2,0,6
Senate,117,1,173,173,2021-04-28,Motion to Invoke Cloture: Samantha Power to be Administrator of the United States Agency for International Development ,On the Cloture Motion PN114,Cloture Motion Agreed to,67,28,0,5
Senate,117,1,174,174,2021-04-28,"Confirmation: Samantha Power, of Massachusetts, to be Administrator of the United States Agency for International Development",On the Nomination PN114,Nomination Confirmed,68,26,0,6
Senate,117,1,175,175,2021-04-28,S.J. Res. 14,On the Joint Resolution S.J.Res. 14,Joint Resolution Passed,52,42,0,6
